,error_code,cycle_time_s,spindle_speed_rpm,feed_rate_mm_min,axis_position_x_mm,spindle_temperature_c,vibration_mm_s,servo_motor_load_pct,power_consumption_kw,coolant_flow_l_min,coolant_pressure_bar,lubrication_level_pct,ambient_humidity_pct,ambient_dust_ug_m3,machine_status,production_count
2025-09-15 00:00:00,0,0.0,0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Idle,0
2025-09-15 00:01:00,0,0.0,0,0.0,0.0,25.0,0.497,1.503,1.874,0.0,0.0,99.998,60.862,13.862,Idle,0
2025-09-15 00:02:00,0,0.0,0,0.0,0.0,25.0,0.134,1.584,1.574,0.0,0.0,99.996,57.536,14.365,Idle,0
2025-09-15 00:03:00,0,0.0,0,0.0,0.0,25.0,0.363,1.067,1.6,0.0,0.0,99.994,62.391,14.098,Idle,0
2025-09-15 00:04:00,0,0.0,0,0.0,0.0,25.0,0.137,0.081,1.023,0.0,0.0,99.992,57.544,14.084,Idle,0
2025-09-15 00:05:00,0,0.0,0,0.0,0.0,25.0,0.307,0.412,1.71,0.0,0.0,99.99,60.008,13.947,Idle,0
2025-09-15 00:06:00,0,0.0,0,0.0,0.0,25.0,0.478,0.933,1.304,0.0,0.0,99.988,59.369,15.198,Idle,0
2025-09-15 00:07:00,0,0.0,0,0.0,0.0,25.0,0.239,0.378,1.199,0.0,0.0,99.986,61.858,15.376,Idle,0
2025-09-15 00:08:00,0,0.0,0,0.0,0.0,25.0,0.195,0.092,1.591,0.0,0.0,99.984,63.513,15.601,Idle,0
2025-09-15 00:09:00,0,0.0,0,0.0,0.0,25.0,0.139,1.098,1.649,0.0,0.0,99.982,58.006,14.344,Idle,0
2025-09-15 00:10:00,0,0.0,0,0.0,0.0,25.0,0.207,1.971,1.664,0.0,0.0,99.98,56.214,14.999,Idle,0
2025-09-15 00:11:00,0,0.0,0,0.0,0.0,25.0,0.335,0.734,1.144,0.0,0.0,99.978,56.919,16.891,Idle,0
2025-09-15 00:12:00,0,0.0,0,0.0,0.0,25.0,0.256,0.301,1.197,0.0,0.0,99.976,57.49,15.347,Idle,0
2025-09-15 00:13:00,0,0.0,0,0.0,0.0,25.0,0.268,1.579,1.291,0.0,0.0,99.974,61.874,15.225,Idle,0
2025-09-15 00:14:00,0,0.0,0,0.0,0.0,25.0,0.377,0.025,1.404,0.0,0.0,99.972,58.985,15.931,Idle,0
2025-09-15 00:15:00,0,0.0,0,0.0,0.0,25.0,0.285,0.15,1.936,0.0,0.0,99.97,60.288,15.686,Idle,0
2025-09-15 00:16:00,0,0.0,0,0.0,0.0,25.0,0.146,0.202,1.78,0.0,0.0,99.968,58.661,14.685,Idle,0
2025-09-15 00:17:00,0,0.0,0,0.0,0.0,25.0,0.26,0.967,1.572,0.0,0.0,99.966,59.855,17.077,Idle,0
2025-09-15 00:18:00,0,0.0,0,0.0,0.0,25.0,0.193,1.799,1.906,0.0,0.0,99.964,61.683,14.762,Idle,0
2025-09-15 00:19:00,0,0.0,0,0.0,0.0,25.0,0.465,0.932,1.615,0.0,0.0,99.962,57.83,14.857,Idle,0
2025-09-15 00:20:00,0,0.0,0,0.0,0.0,25.0,0.227,1.389,1.361,0.0,0.0,99.96,62.52,13.747,Idle,0
2025-09-15 00:21:00,0,0.0,0,0.0,0.0,25.0,0.159,1.021,1.818,0.0,0.0,99.958,61.637,16.875,Idle,0
2025-09-15 00:22:00,0,0.0,0,0.0,0.0,25.0,0.187,0.333,1.247,0.0,0.0,99.956,58.478,15.06,Idle,0
